ht,it,od digital,od analog,od mid,mx,my,mz,dt,v.x,v.y,p.x,p.y,p.z,mx_max,my_max,mz_max,mx_min,my_min,mz_min,mx_bias,my_bias,mz_bias,head,dhead,headingChange
125,125,0,0,188,-69,20,1,31,0,0,8.08,-1.95,0,7,9,5,-7,-8,-4,-69,14,1,90,44.63,-45.37
126,125,1,1,882,-67,21,2,30,0.07,-0.03,8.15,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,111.8,43.25,-68.55
127,126,1,0,187,-67,20,3,31,0.06,-0.03,8.21,-2,0,7,9,5,-7,-8,-4,-69,14,1,116.57,41.81,-74.75
128,127,1,1,865,-68,23,3,30,0.07,-0.01,8.28,-2.01,0,7,9,5,-7,-8,-4,-69,14,1,98.13,40.54,-57.59
129,128,1,0,211,-71,21,5,31,0.07,0.03,8.34,-1.99,0,7,9,5,-7,-8,-4,-69,14,1,68.2,39.82,-28.38
130,129,1,0,192,-69,20,2,31,0.07,0,8.41,-1.99,0,7,9,5,-7,-8,-4,-69,14,1,90,38.6,-51.4
130,130,0,1,875,-69,19,3,30,0,0,8.41,-1.99,0,7,9,5,-7,-8,-4,-69,14,1,90,38.6,-51.4
131,130,1,0,193,-70,20,3,30,0.07,0.02,8.48,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,75.96,37.61,-38.35
132,131,1,1,874,-68,20,2,31,0.07,-0.02,8.55,-1.99,0,7,9,5,-7,-8,-4,-69,14,1,104.04,36.1,-67.93
133,132,1,0,192,-70,20,4,31,0.07,0.02,8.62,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,75.96,35.03,-40.94
134,133,1,0,197,-69,20,1,30,0.07,0,8.69,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,90,33.63,-56.37
135,134,1,1,880,-70,20,2,31,0.07,0.02,8.76,-1.95,0,7,9,5,-7,-8,-4,-69,14,1,75.96,32.45,-43.51
135,135,0,0,194,-71,20,3,31,0,0,8.76,-1.95,0,7,9,5,-7,-8,-4,-69,14,1,63.43,32.45,-30.98
136,135,1,1,872,-68,20,3,30,0.07,-0.02,8.83,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,104.04,30.78,-73.26
137,136,1,0,198,-69,20,4,30,0.07,0,8.9,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,90,29.24,-60.76
138,137,1,1,772,-69,19,4,31,0.07,0,8.97,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,90,27.66,-62.34
139,138,1,1,758,-68,21,1,31,0.07,-0.01,9.04,-1.98,0,7,9,5,-7,-8,-4,-69,14,1,101.31,25.9,-75.41
139,139,0,0,202,-69,19,2,30,0,0,9.04,-1.98,0,7,9,5,-7,-8,-4,-69,14,1,90,25.9,-64.1
140,139,1,1,875,-70,20,4,31,0.07,0.02,9.11,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,75.96,24.46,-51.5
141,140,1,0,201,-69,20,4,30,0.07,0,9.18,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,90,22.74,-67.26
142,141,1,1,861,-69,21,3,30,0.07,0,9.25,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,90,20.97,-69.03
143,142,1,1,576,-69,21,0,31,0.07,0,9.32,-1.97,0,7,9,5,-7,-8,-4,-69,14,1,90,19.16,-70.84
144,143,1,0,199,-68,21,4,31,0.07,-0.01,9.39,-1.98,0,7,9,5,-7,-8,-4,-69,14,1,101.31,17.22,-84.09
144,144,0,1,879,-69,21,2,31,0,0,9.39,-1.98,0,7,9,5,-7,-8,-4,-69,14,1,90,17.22,-72.78
145,144,1,0,197,-71,20,3,29,0.06,0.03,9.45,-1.95,0,7,9,5,-7,-8,-4,-69,14,1,63.43,15.78,-47.65
146,145,1,1,868,-70,20,4,31,0.07,0.02,9.52,-1.93,0,7,9,5,-7,-8,-4,-69,14,1,75.96,14.02,-61.94
147,146,1,0,196,-69,21,3,31,0.07,0,9.59,-1.93,0,7,9,5,-7,-8,-4,-69,14,1,90,12.04,-77.96
148,147,1,0,195,-70,18,4,30,0.07,0.02,9.65,-1.91,0,7,9,5,-7,-8,-4,-69,14,1,71.57,10.24,-61.32
149,148,1,1,882,-70,21,3,31,0.07,0.01,9.72,-1.9,0,7,9,5,-7,-8,-4,-69,14,1,78.69,8.28,-70.41
149,149,0,0,194,-69,22,3,31,0,0,9.72,-1.9,0,7,9,5,-7,-8,-4,-69,14,1,90,8.28,-81.72
150,149,1,1,876,-69,19,3,30,0.07,0,9.79,-1.9,0,7,9,5,-7,-8,-4,-69,14,1,90,6.18,-83.82
151,150,1,0,194,-69,22,3,30,0.07,0,9.87,-1.9,0,7,9,5,-7,-8,-4,-69,14,1,90,4.07,-85.93
152,151,1,1,843,-70,22,3,31,0.07,0.01,9.93,-1.88,0,7,9,5,-7,-8,-4,-69,14,1,80.54,1.98,-78.55
153,152,1,1,575,-71,21,1,31,0.07,0.03,10,-1.86,0,7,9,5,-7,-8,-4,-69,14,1,68.2,360,-68.2
154,153,1,0,198,-69,20,3,30,0.07,0,10.07,-1.86,0,7,9,5,-7,-8,-4,-69,14,1,90,359.66,-90.34
154,154,0,1,881,-71,19,4,31,0,0,10.07,-1.86,0,7,9,5,-7,-8,-4,-69,14,1,56.31,359.66,-56.65
155,154,1,0,196,-70,22,2,31,0.07,0.01,10.14,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,80.54,359.32,-81.22
156,155,1,1,867,-70,21,3,31,0.07,0.01,10.21,-1.83,0,7,9,5,-7,-8,-4,-69,14,1,78.69,358.99,-79.7
157,156,1,0,195,-67,22,1,30,0.07,-0.02,10.28,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,108.43,358.66,-109.77
158,157,1,0,197,-68,19,3,31,0.07,-0.02,10.34,-1.88,0,7,9,5,-7,-8,-4,-69,14,1,108.43,358.34,-110.09
159,158,1,1,857,-70,19,3,31,0.07,0.02,10.41,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,71.57,358.02,-73.55
159,159,0,0,209,-69,21,4,31,0,0,10.41,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,90,358.02,-91.98
160,159,1,1,882,-69,19,3,30,0.07,0,10.48,-1.85,0,7,9,5,-7,-8,-4,-69,14,1,90,357.68,-92.32
161,160,1,0,200,-68,21,3,31,0.07,-0.01,10.55,-1.87,0,7,9,5,-7,-8,-4,-69,14,1,101.31,357.35,-103.96
162,161,1,1,853,-68,19,1,31,0.07,-0.02,10.62,-1.89,0,7,9,5,-7,-8,-4,-69,14,1,108.43,357.03,-111.4
