
-2308,1688,16284,-198,199,75,-38,-1,47,1048378
-2304,1348,16192,22,-23,133,-40,0,47,1048413
-2040,1484,16168,121,103,34,-41,0,50,1048449
-1936,1408,16156,0,238,26,-40,-2,50,1048483
-2312,1532,16380,224,127,-60,-38,-2,49,1048519
-2200,1652,16260,121,9,-59,-38,-1,49,1048554
-2184,1628,16144,-5,121,-110,-39,-2,49,1048590
-2244,1528,16212,-52,71,-53,-39,-3,47,1048625
-2240,1472,16168,-9,109,-65,-40,-1,50,1048660
-2292,1516,16228,127,-14,55,-40,-1,49,1048695
-2168,1644,16036,-17,-26,-34,-40,-3,50,1048731
-2360,1484,16388,-139,35,-1,-39,-2,49,1048766
-2204,1400,16296,104,-156,-43,-38,-2,49,1048802
-2172,1572,16032,-26,-122,7,-40,-3,49,1048837
-1956,1532,16088,119,125,-13,-39,-1,48,1048872
-2376,1348,16324,-46,135,-70,-40,-2,49,1048907
-2172,1472,16288,226,-38,-90,-36,-3,49,1048943
-2156,1612,16240,188,-52,-58,-40,-1,48,1048978
-2100,1616,16084,-127,54,-214,-42,-2,48,1049014
-2236,1228,16132,-1,95,-142,-38,-2,49,1049049
-2188,1704,16224,453,-21,-94,-40,-3,49,1049084
-2220,1584,16000,-4,36,-168,-40,-1,49,1049119
-2080,1672,16172,117,140,-265,-39,-4,49,1049155
-2260,1752,16288,-53,61,-41,-40,0,50,1049190
-2136,1652,16296,-48,-8,-116,-39,-1,49,1049226
-2112,1728,16208,-5,-19,53,-40,0,50,1049261
-2184,1492,16208,65,39,-43,-39,-1,48,1049296
-2080,1388,16124,-103,66,-179,-38,-2,49,1049331
-2176,1376,16204,137,16,-20,-41,-3,49,1049367
-2016,1472,16164,203,-37,-173,-40,-2,48,1049402
-2352,1712,16168,36,-13,-192,-39,-1,49,1049438
-2192,1688,16256,11,6,-196,-39,0,51,1049473
-2204,1628,16232,-212,-7,-118,-39,1,49,1049508
-2140,1476,16332,9,-4,-208,-38,0,48,1049543
-2112,1512,16244,1,-101,121,-38,-1,50,1049579
-2004,1508,15988,83,94,-239,-40,-2,51,1049614
-2020,1736,16204,11,146,134,-40,-1,48,1049650
-2256,1456,16296,-98,132,-200,-39,-2,49,1049684
-2064,1464,16292,37,76,-112,-39,-4,48,1049720
-2088,1652,16120,120,75,-104,-37,-2,49,1049755
-2192,1448,16176,-66,99,-58,-39,-3,49,1049791
-2124,1376,16140,86,151,-179,-41,0,51,1049826
-2120,1628,16232,131,188,-166,-39,-1,48,1049862
-2244,1756,16236,77,199,-129,-39,-1,48,1049896
-2140,1508,16116,-16,251,-50,-41,-1,48,1049932
-2244,1536,16184,228,113,-17,-39,-1,49,1049967
-2096,1636,16296,128,290,-281,-39,0,49,1050003
-2264,1700,16328,53,118,-76,-38,-1,50,1050038
-2336,1572,16232,43,84,-249,-40,0,49,1050074
-2144,1464,16180,103,178,-409,-38,-2,48,1050108
-2092,1760,16128,217,132,-176,-39,0,50,1050144
-2328,1552,16152,92,142,-209,-39,-2,49,1050180
-2372,1584,16256,59,-59,7,-40,-2,50,1050215
-2056,1636,16068,14,222,-440,-38,-1,49,1050250
-2264,1712,16380,-128,204,-101,-41,-2,48,1050286
-2400,1384,16320,104,-38,-114,-37,1,51,1050321
-2300,1512,16136,358,-270,-231,-39,-1,48,1050356
-1912,1912,16092,101,101,-331,-40,-2,49,1050392
-2188,1652,16220,-104,163,-107,-42,1,49,1050427
-2192,1736,16296,271,153,-190,-40,-2,50,1050463
-2264,1652,16188,171,135,-166,-39,-1,48,1050498
-2212,1540,16148,165,77,-171,-40,1,50,1050533
-2184,1736,16208,-42,48,-103,-39,1,48,1050568
-2304,1484,16232,-129,-194,225,-39,-2,51,1050604
-2096,1620,16068,212,-54,36,-40,-1,49,1050639
-2096,1732,16148,38,-9,208,-40,-2,48,1050675
-2284,1760,16272,-70,125,-180,-40,0,50,1050710
-2184,1552,16292,-256,-143,-75,-39,-2,50,1050745
