direction, mx, my, mz, mx_max, my_max, mz_max, mx_min, my_min, mz_min,,mx,my,mz,,,,,,,,,,,,,,mx,my,mz,,,,,,,,,,,,,mx,my,mz
Left,-31,-13,19,0,9,24,-59,-16,7,,,,,,,Right,-23,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-31,-16,16,24,93,26,-100,-38,-111,,,,
Left,-32,-13,21,0,9,24,-59,-16,7,,,,,,,Right,-23,-10,19,24,91,26,-100,-38,-111,,,,,,Straight,-33,-15,16,24,93,26,-100,-38,-111,,,,
Left,-29,-13,20,0,9,24,-59,-16,7,,,,,,,Right,-24,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-32,-17,15,24,93,26,-100,-38,-111,,,,
Left,-29,-15,19,0,9,24,-59,-16,7,,,,,,,Right,-24,-7,18,24,91,26,-100,-38,-111,,,,,,Straight,-31,-18,14,24,93,26,-100,-38,-111,,,,
Left,-32,-15,19,0,9,24,-59,-16,7,,,,,,,Right,-24,-7,14,24,91,26,-100,-38,-111,,,,,,Straight,-31,-22,12,24,93,26,-100,-38,-111,,,,
Left,-29,-14,20,0,9,24,-59,-16,7,,,,,,,Right,-23,-7,18,24,91,26,-100,-38,-111,,,,,,Straight,-30,-20,12,24,93,26,-100,-38,-111,,,,
Left,-30,-13,20,0,9,24,-59,-16,7,,,,,,,Right,-25,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-31,-21,12,24,93,26,-100,-38,-111,,,,
Left,-31,-12,19,0,9,24,-59,-16,7,,,,,,,Right,-25,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-30,-21,11,24,93,26,-100,-38,-111,,,,
Left,-29,-15,19,0,9,24,-59,-16,7,,,,,,,Right,-23,-7,16,24,91,26,-100,-38,-111,,,,,,Straight,-32,-24,8,24,93,26,-100,-38,-111,,,,
Left,-29,-13,19,0,9,24,-59,-16,7,,,,,,,Right,-23,-7,19,24,91,26,-100,-38,-111,,,,,,Straight,-30,-24,6,24,93,26,-100,-38,-111,,,,
Left,-30,-15,19,0,9,24,-59,-16,7,,,,,,,Right,-23,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-29,-29,4,24,93,26,-100,-38,-111,,,,
Left,-27,-15,18,0,9,24,-59,-16,7,,,,,,,Right,-22,-7,18,24,91,26,-100,-38,-111,,,,,,Straight,-29,-27,3,24,93,26,-100,-38,-111,,,,
Left,-27,-14,17,0,9,24,-59,-16,7,,,,,,,Right,-23,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-27,-29,2,24,93,26,-100,-38,-111,,,,
Left,-30,-15,16,0,9,24,-59,-16,7,,,,,,,Right,-23,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-27,-29,-2,24,93,26,-100,-38,-111,,,,
Left,-28,-16,18,0,9,24,-59,-16,7,,,,,,,Right,-22,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-25,-31,-5,24,93,26,-100,-38,-111,,,,
Left,-28,-17,16,0,9,24,-59,-17,7,,,,,,,Right,-22,-7,19,24,91,26,-100,-38,-111,,,,,,Straight,-26,-31,-7,24,93,26,-100,-38,-111,,,,
Left,-27,-17,18,0,9,24,-59,-17,7,,,,,,,Right,-24,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-27,-34,-7,24,93,26,-100,-38,-111,,,,
