32, 0, 159, 0, -12, 35, -7, 30, 1.01, -2.02, 12.03, -45.44, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 153.43, 357.91, -155.53
33, 1, 886, 0, -8, 33, -6, 32, 0.46, -2.28, 12.48, -47.72, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 168.69, 357.54, -171.15
33, 0, 160, 0, -11, 34, -7, 31, 0.92, -2.14, 13.40, -49.86, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 356.75, -160.05
34, 1, 870, 0, -12, 36, -6, 31, 1.33, -2.00, 14.73, -51.85, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 146.31, 355.63, -150.68
35, 0, 160, 0, -10, 34, -6, 31, 0.87, -2.31, 15.60, -54.17, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 159.44, 355.02, -164.43
36, 0, 159, 0, -11, 32, -6, 31, 0.36, -2.51, 15.96, -56.68, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 171.87, 354.90, -176.97
36, 1, 884, 0, -11, 33, -7, 31, 0.70, -2.44, 16.65, -59.12, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.05, 354.50, -169.55
37, 0, 160, 0, -10, 35, -7, 31, 0.92, -2.44, 17.57, -61.56, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 159.44, 353.96, -165.48
38, 1, 876, 0, -11, 34, -3, 31, 1.06, -2.46, 18.62, -64.03, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 353.35, -163.45
39, 0, 161, 0, -10, 33, -5, 31, 0.67, -2.67, 19.29, -66.70, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 165.96, 353.09, -172.87
40, 0, 160, 0, -9, 32, -6, 31, 0.31, -2.80, 19.60, -69.50, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 173.66, 353.11, 179.45
40, 1, 882, 0, -10, 32, -4, 30, 0.35, -2.80, 19.95, -72.30, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 172.87, 353.10, -179.77
41, 0, 161, 0, -8, 33, -6, 32, 0.57, -2.84, 20.52, -75.13, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 168.69, 352.96, -175.73
42, 1, 876, 0, -14, 34, -6, 31, 1.52, -2.54, 22.04, -77.67, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 149.04, 352.18, -156.86
43, 0, 162, 0, -11, 35, -7, 31, 1.19, -2.79, 23.24, -80.46, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 351.67, -165.13
44, 0, 162, 0, -11, 34, -4, 30, 1.22, -2.85, 24.46, -83.31, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 351.19, -165.61
44, 1, 882, 0, -11, 33, -9, 32, 0.85, -2.98, 25.31, -86.30, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.05, 350.96, -173.09
45, 0, 163, 0, -11, 33, -7, 31, 0.87, -3.05, 26.19, -89.35, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.05, 350.75, -173.31
46, 1, 880, 0, -11, 35, -6, 31, 1.28, -2.98, 27.46, -92.33, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 350.32, -166.49
47, 0, 164, 0, -10, 32, -8, 30, 0.41, -3.29, 27.88, -95.62, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 172.87, 350.39, 177.52
48, 0, 142, 0, -8, 31, -5, 32, -0.00, -3.39, 27.88, -99.01, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 350.69, 170.69
48, 1, 877, 0, -10, 32, -4, 31, 0.42, -3.36, 28.29, -102.37, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 172.87, 350.75, 177.88
49, 0, 142, 0, -8, 32, -6, 30, 0.34, -3.44, 28.64, -105.80, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 174.29, 350.86, 176.57
50, 1, 873, 0, -4, 32, -6, 31, 0.25, -3.52, 28.89, -109.32, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 175.91, 351.00, 175.09
51, 0, 144, 0, -5, 31, -7, 31, -0.00, -3.60, 28.89, -112.92, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 180.00, 351.26, 171.26
52, 0, 141, 0, -8, 33, -6, 31, 0.72, -3.60, 29.61, -116.52, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 168.69, 351.19, -177.50
53, 1, 886, 0, -11, 33, -8, 31, 1.03, -3.59, 30.64, -120.11, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.05, 350.99, -173.07
53, 0, 166, 0, -10, 34, -5, 31, 1.31, -3.50, 31.95, -123.61, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 159.44, 350.67, -168.77
54, 1, 885, 0, -10, 34, -9, 31, 1.34, -3.57, 33.29, -127.18, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 159.44, 350.37, -169.08
55, 0, 166, 0, -11, 32, -7, 31, 0.55, -3.84, 33.83, -131.02, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 171.87, 350.41, 178.54
56, 1, 555, 0, -10, 34, -6, 31, 1.39, -3.70, 35.22, -134.71, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 159.44, 350.11, -169.33
57, 1, 854, 0, -11, 35, -6, 31, 1.58, -3.70, 36.80, -138.41, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 349.76, -167.04
57, 0, 164, 0, -10, 34, -4, 32, 1.41, -3.76, 38.22, -142.17, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 159.44, 349.50, -169.95
58, 1, 886, 0, -11, 33, -7, 30, 1.12, -3.93, 39.34, -146.11, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 164.05, 349.36, -174.70
59, 0, 162, 0, -11, 34, -6, 31, 1.64, -3.82, 40.98, -149.93, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 156.80, 349.04, -167.76
60, 1, 833, 0, -12, 34, -3, 32, 1.89, -3.78, 42.87, -153.72, 0.00, 18, 20, 13, -19, -19, -13, -19, 30, -3, 153.43, 348.65, -164.79
