-3848,440,16724,-2271,899,11953,18,-13,52,1750152
-1688,648,14356,-3883,1976,10274,19,-12,51,1750188
-2488,3760,16348,-1554,8516,11766,20,-10,51,1750223
-2500,-32,13352,-2512,1986,16320,22,-4,53,1750258
-4704,632,15596,3159,1335,17481,22,-5,50,1750294
-5628,1340,18768,2638,-2311,15174,22,-4,52,1750330
-3344,2184,17808,1580,-6833,14391,21,-3,51,1750366
-4976,4176,19944,305,-6224,13934,20,-4,53,1750401
-2904,2472,15480,-840,-18628,8988,22,-5,53,1750436
680,3532,11832,-1680,-17296,8631,22,-10,53,1750472
384,-1716,11672,2394,-12029,8558,22,-13,52,1750507
556,2128,13756,4151,991,3532,22,-12,55,1750543
1748,3828,17776,925,3224,1544,23,-11,52,1750579
-728,1576,18120,278,589,1570,22,-13,51,1750614
-180,1680,15928,-1721,-255,-1896,22,-11,54,1750649
1936,3020,14736,257,-1454,-3142,23,-11,52,1750684
1400,1800,16536,1171,-429,-2113,22,-12,54,1750720
1256,2636,16912,1024,-1013,-4443,22,-12,52,1750756
1480,2160,16872,-355,-196,-4924,22,-14,55,1750792
264,1804,14772,935,-1581,-8288,19,-14,54,1750827
3892,4052,15748,1838,-515,-8112,18,-18,51,1750862
-272,1340,16324,1487,4926,-6672,16,-17,52,1750897
-108,3512,18768,2150,-1963,-11462,17,-15,52,1750933
1848,4024,18088,-133,-2650,-12124,18,-18,54,1750969
2224,3948,16800,16,-6921,-10385,14,-20,53,1751005
1036,3856,12296,-1450,382,-12189,14,-21,53,1751040
-1736,960,18160,-702,1448,-14907,12,-22,53,1751075
2564,6696,16240,-1015,-4128,-16879,10,-24,50,1751111
-160,4264,14132,-2353,3863,-13223,9,-24,53,1751146
-1508,1544,17340,-2147,-721,-13526,8,-25,52,1751182
1144,4880,16272,-1205,1026,-15687,8,-24,50,1751218
-152,2676,17288,-2461,-785,-11411,7,-24,51,1751254
548,2816,14288,370,-3850,-12241,6,-26,49,1751288
2040,5216,14576,62,-3461,-9432,3,-26,49,1751324
-1176,-420,15424,-2618,6707,-8123,3,-27,51,1751359
-828,6184,16512,2266,-1934,-11238,2,-25,51,1751395
-468,2616,16716,762,-1249,-5825,1,-26,50,1751431
-3216,532,15560,-571,1021,-8360,-1,-25,51,1751465
120,5452,17648,1148,-970,-8601,-2,-25,50,1751501
