mx, my, mz, mx_bias, my_bias, mz_bias, desiredHeading, heading, headingChange, runningMotor,,,,
8,27,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
9,28,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
9,27,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
7,29,-3,-5457,-5076,12765,0,134.82,-134.82, not,,,,
7,28,-3,-5457,-5076,12765,0,134.83,-134.83, not,,,,
8,28,-2,-5457,-5076,12765,0,134.83,-134.83, not,,,,
7,27,-3,-5457,-5076,12765,0,134.83,-134.83, not,,,,
6,25,-6,-5457,-5076,12765,0,134.84,-134.84, not,,,,
9,28,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
8,26,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
7,26,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
6,27,-2,-5457,-5076,12765,0,134.83,-134.83, not,,,,
7,26,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
5,22,-5,-5457,-5076,12765,0,134.85,-134.85, not,,,,
7,26,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
8,27,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
7,26,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
6,26,-4,-5457,-5076,12765,0,134.83,-134.83, not,,,,
6,24,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
7,25,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
7,25,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
6,25,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
7,23,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
5,24,-5,-5457,-5076,12765,0,134.84,-134.84, not,,,,
6,24,-2,-5457,-5076,12765,0,134.84,-134.84, not,,,,
6,23,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
4,23,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
4,21,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
4,21,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
4,22,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
7,23,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
4,20,0,-5457,-5076,12765,0,134.85,-134.85, not,,,,
3,20,-4,-5457,-5076,12765,0,134.85,-134.85, not,,,,
3,20,0,-5457,-5076,12765,0,134.85,-134.85, not,,,,
4,21,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
3,21,-3,-5457,-5076,12765,0,134.84,-134.84, not,,,,
4,20,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
3,18,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
4,19,-4,-5457,-5076,12765,0,134.86,-134.86, not,,,,
2,18,-1,-5457,-5076,12765,0,134.85,-134.85, not,,,,
2,20,-4,-5457,-5076,12765,0,134.84,-134.84, not,,,,
2,17,-2,-5457,-5076,12765,0,134.86,-134.86, not,,,,
1,17,-3,-5457,-5076,12765,0,134.85,-134.85, not,,,,
2,16,-1,-5457,-5076,12765,0,134.86,-134.86, not,,,,
1,14,-1,-5457,-5076,12765,0,134.87,-134.87, not,,,,
3,15,-4,-5457,-5076,12765,0,134.87,-134.87, not,,,,
1,14,-4,-5457,-5076,12765,0,134.87,-134.87, not,,,,
1,16,-3,-5457,-5076,12765,0,134.86,-134.86, not,,,,
2,14,-2,-5457,-5076,12765,0,134.88,-134.88, not,,,,
2,15,-3,-5457,-5076,12765,0,134.87,-134.87, not,,,,
2,12,-3,-5457,-5076,12765,0,134.89,-134.89, not,,,,
1,12,-3,-5457,-5076,12765,0,134.88,-134.88, not,,,,
2,16,-5,-5457,-5076,12765,0,134.86,-134.86, not,,,,
2,12,-1,-5457,-5076,12765,0,134.89,-134.89, not,,,,
0,13,-2,-5457,-5076,12765,0,134.87,-134.87, not,,,,
1,12,-2,-5457,-5076,12765,0,134.88,-134.88, not,,,,
1,13,0,-5457,-5076,12765,0,134.88,-134.88, not,,,,
2,11,-2,-5457,-5076,12765,0,134.89,-134.89, not,,,,
3,12,-2,-5457,-5076,12765,0,134.89,-134.89, not,,,,
1,10,-2,-5457,-5076,12765,0,134.89,-134.89, not,,,,
1,12,-2,-5457,-5076,12765,0,134.88,-134.88, not,,,,
1,11,-1,-5457,-5076,12765,0,134.89,-134.89, not,,,,
3,12,-4,-5457,-5076,12765,0,134.89,-134.89, not,,,,
1,11,-2,-5457,-5076,12765,0,134.89,-134.89, not,,,,
1,7,-3,-5457,-5076,12765,0,134.91,-134.91, not,,,,
2,10,-1,-5457,-5076,12765,0,134.9,-134.9, not,,,,
0,9,-2,-5457,-5076,12765,0,134.89,-134.89, not,,,,
1,7,-1,-5457,-5076,12765,0,134.91,-134.91, not,,,,
1,7,-2,-5457,-5076,12765,0,134.91,-134.91, not,,,,
0,8,-1,-5457,-5076,12765,0,134.9,-134.9, not,,,,
1,5,0,-5457,-5076,12765,0,134.92,-134.92, not,,,,
4,6,0,-5457,-5076,12765,0,134.93,-134.93, not,,,,
4,5,-1,-5457,-5076,12765,0,134.94,-134.94, not,,,,
4,4,-1,-5457,-5076,12765,0,134.94,-134.94, not,,,,
5,1,-2,-5457,-5076,12765,0,134.97,-134.97, not,,,,
3,1,-2,-5457,-5076,12765,0,134.95,-134.95, not,,,,
3,-1,1,-5457,-5076,12765,0,134.97,-134.97, not,,,,
5,2,-1,-5457,-5076,12765,0,134.96,-134.96, not,,,,
4,1,0,-5457,-5076,12765,0,134.96,-134.96, not,,,,
7,-1,-1,-5457,-5076,12765,0,134.99,-134.99, not,,,,
8,0,1,-5457,-5076,12765,0,134.99,-134.99, not,,,,
6,-3,0,-5457,-5076,12765,0,135,-135, not,,,,
6,-2,1,-5457,-5076,12765,0,134.99,-134.99, not,,,,
6,-5,0,-5457,-5076,12765,0,135,-135, not,,,,
8,-5,0,-5457,-5076,12765,0,135.01,-135.01, not,,,,
8,-3,2,-5457,-5076,12765,0,135,-135, not,,,,
10,-4,0,-5457,-5076,12765,0,135.02,-135.02, not,,,,
11,-5,0,-5457,-5076,12765,0,135.03,-135.03, not,,,,
9,-6,3,-5457,-5076,12765,0,135.02,-135.02, not,,,,
11,-8,2,-5457,-5076,12765,0,135.05,-135.05, not,,,,
12,-7,0,-5457,-5076,12765,0,135.05,-135.05, not,,,,
12,-8,2,-5457,-5076,12765,0,135.05,-135.05, not,,,,
12,-8,2,-5457,-5076,12765,0,135.05,-135.05, not,,,,
14,-9,2,-5457,-5076,12765,0,135.07,-135.07, not,,,,
13,-6,1,-5457,-5076,12765,0,135.05,-135.05, not,,,,
15,-8,3,-5457,-5076,12765,0,135.07,-135.07, not,,,,
15,-9,1,-5457,-5076,12765,0,135.07,-135.07, not,,,,
15,-8,2,-5457,-5076,12765,0,135.07,-135.07, not,,,,
15,-11,2,-5457,-5076,12765,0,135.09,-135.09, not,,,,
17,-9,1,-5457,-5076,12765,0,135.08,-135.08, not,,,,
16,-10,3,-5457,-5076,12765,0,135.09,-135.09, not,,,,
16,-11,0,-5457,-5076,12765,0,135.09,-135.09, not,,,,
17,-10,4,-5457,-5076,12765,0,135.09,-135.09, not,,,,
19,-10,3,-5457,-5076,12765,0,135.1,-135.1, not,,,,
19,-12,3,-5457,-5076,12765,0,135.11,-135.11, not,,,,
18,-11,3,-5457,-5076,12765,0,135.1,-135.1, not,,,,
21,-13,3,-5457,-5076,12765,0,135.13,-135.13, not,,,,
20,-12,3,-5457,-5076,12765,0,135.12,-135.12, not,,,,
21,-12,4,-5457,-5076,12765,0,135.12,-135.12, not,,,,
21,-11,2,-5457,-5076,12765,0,135.12,-135.12, not,,,,
20,-11,1,-5457,-5076,12765,0,135.11,-135.11, not,,,,
22,-11,2,-5457,-5076,12765,0,135.12,-135.12, not,,,,
21,-10,3,-5457,-5076,12765,0,135.11,-135.11, not,,,,
20,-11,3,-5457,-5076,12765,0,135.11,-135.11, not,,,,
