ax,ay,az,gx,gy,gz,mx,my,mz,t
1888,1024,16300,-374,271,-130,-29,8,50,56129
1564,712,16092,-207,411,-271,-29,9,52,56164
1600,544,16148,90,268,-265,-30,8,52,56200
1964,700,16260,-148,932,485,-30,7,52,56235
1196,428,16096,271,616,361,-29,7,50,56270
1152,608,16480,499,-815,-563,-30,8,52,56305
2040,856,15916,624,-818,-389,-28,7,51,56341
1636,660,16312,652,-903,-58,-28,7,51,56376
2148,1164,16140,214,-697,138,-30,6,50,56411
1860,952,16100,55,12,186,-30,8,50,56446
1512,772,16244,46,368,89,-28,9,52,56481
1444,792,16384,257,-1019,-479,-30,7,53,56517
2408,792,16392,16,-505,-112,-31,7,52,56552
1380,692,16448,1068,-1654,203,-30,7,53,56587
2220,1060,16916,384,-2960,-621,-30,7,50,56623
3136,848,15560,694,-2041,115,-29,5,52,56657
2932,1240,16244,485,713,625,-29,7,52,56693
2140,1056,15880,576,1300,561,-30,4,52,56728
2464,1204,16140,217,155,83,-30,7,52,56764
2176,1100,16204,-93,1732,563,-31,7,51,56799
1528,1024,16384,-136,361,-344,-31,6,51,56835
2052,1000,16408,117,-107,-516,-31,6,51,56869
2316,1044,16328,-344,360,80,-31,5,52,56905
1916,868,16388,-108,67,-86,-30,5,50,56940
2268,1020,16292,313,152,-183,-31,7,52,56975
2332,1244,16176,-384,605,156,-31,5,51,57011
1936,948,16164,268,-197,56,-30,4,49,57046
2060,1232,16224,363,-32,78,-30,7,51,57081
1988,1196,16388,546,-765,-481,-28,8,51,57116
2656,796,16588,789,367,-28,-32,6,50,57152
1456,1012,16612,1658,-1023,95,-32,5,50,57187
3680,1668,16896,2258,509,2,-32,4,50,57222
1772,1644,16612,2196,-272,151,-32,5,50,57257
2472,1884,16080,3802,-345,-696,-33,6,48,57293
2180,2012,17084,3058,71,-911,-35,4,48,57328
3692,2000,14920,4352,-1138,-28,-35,4,48,57364
2952,2840,16484,7139,-2599,-238,-36,3,49,57399
2620,2624,16244,9745,3222,94,-41,7,46,57435
920,4024,17356,7965,-5125,-2236,-41,5,45,57469
3500,4888,18456,7790,-8365,-2105,-41,3,43,57505
5456,5156,14080,7026,-5879,-210,-44,3,44,57540
1000,5492,16264,7385,-9019,-3698,-44,0,41,57576
6596,6336,13692,10036,-4682,-5715,-46,3,40,57612
5496,6656,12520,15429,-2917,-1936,-51,2,37,57647
3772,8000,13440,17969,-4089,-2094,-53,2,33,57682
3868,8968,11404,19482,-1926,-2641,-55,3,29,57717
3356,10528,12236,21408,-2353,-3978,-58,2,22,57753
5452,12568,10424,20701,-4269,-3477,-61,6,16,57789
4876,13496,8512,20367,320,-3880,-61,6,11,57824
5376,13168,8532,19649,-715,-2841,-64,9,5,57860
5620,15864,4480,20085,7909,-1776,-63,11,-2,57895
2192,14388,5036,19728,5682,-2522,-64,11,-8,57930
4416,16012,5304,17063,3884,-2144,-62,12,-12,57966
3360,16420,344,15540,-1499,-3407,-61,13,-15,58001
2208,14988,596,17319,1376,-3316,-60,13,-22,58037
3536,18228,216,16428,1008,-4718,-56,13,-27,58073
820,15228,-1248,14188,-5252,-5655,-57,18,-28,58107
972,16468,-3920,16685,1728,-6027,-54,20,-32,58143
824,15680,-2028,18150,-4011,-5953,-50,21,-38,58179
24,16220,-7040,16760,-4217,-6679,-45,25,-39,58214
232,15060,-5404,17063,283,-5731,-44,25,-43,58250
-468,14780,-7080,16768,-3014,-6292,-37,28,-45,58286
-1924,15688,-9732,15586,-1228,-6131,-34,27,-48,58320
-1500,13508,-9792,16174,1368,-2424,-32,30,-50,58356
-1128,12032,-9732,17100,2402,-1435,-26,29,-54,58392
-20,11996,-11856,16976,3237,-3997,-22,31,-57,58427
-180,10896,-11468,17604,5498,-5611,-18,29,-55,58463
-540,9644,-11136,19111,2124,-6971,-12,28,-58,58499
-768,7880,-12672,20301,-951,-6242,-8,30,-57,58533
-1128,6760,-12996,21535,-2906,-7546,1,27,-58,58569
-2768,4068,-14620,20144,-6982,-7237,8,30,-57,58605
-3200,4252,-15984,18684,-6429,-6711,14,32,-53,58640
-3632,2300,-15620,14737,-5504,-4821,16,32,-51,58676
-3640,3000,-18312,8862,-5875,-4569,21,34,-50,58712
-5340,2360,-17864,5051,-1123,-3995,22,34,-49,58746
-5460,2200,-17608,1917,37,-634,22,33,-47,58782
-4932,940,-16372,3028,120,96,20,32,-48,58817
-3816,164,-13480,11560,-6779,1304,23,35,-49,58853
-5212,-2720,-20280,17271,3771,-2152,29,32,-42,58889
-5320,-1440,-14344,13048,1414,-1383,32,33,-40,58924
-4152,-4652,-16364,15908,2953,-4356,35,30,-41,58959
-5188,-3784,-16832,12758,-1354,-3740,37,30,-39,58995
-4888,-4400,-12804,12998,-3495,-3095,40,27,-34,59030
-4516,-6112,-14780,14500,-5269,-2657,43,28,-32,59066
-5192,-8640,-14648,16420,-5104,-2893,45,27,-28,59102
-5500,-8212,-13256,16860,-2329,-2748,47,27,-23,59138
-4292,-9592,-11548,16376,-5013,-2258,49,27,-18,59172
-5552,-10904,-12572,19026,20,-3258,51,26,-13,59208
-5260,-11176,-10848,18916,-1699,-3737,51,26,-9,59244
-2896,-12688,-8328,17473,-2768,-2284,52,26,-2,59279
-5440,-13408,-9100,17669,-508,-1446,53,25,1,59315
-3192,-15556,-5064,12202,-2584,2514,51,23,6,59351
-4436,-12320,-6064,11658,5199,4407,52,25,8,59385
-8108,-16656,-8008,15228,3237,-1541,53,23,13,59421
-3888,-13556,-5792,12806,-78,116,52,24,15,59457
-6024,-15412,-4492,18691,1884,-4083,52,22,20,59492
-3128,-14472,-2784,18095,-3776,-854,50,22,25,59528
-4864,-14252,-1288,18686,-997,778,45,21,30,59564
-5504,-15420,488,18385,-1172,-2308,44,19,34,59598
-6076,-14520,760,16797,-884,-2775,41,17,39,59634
-4272,-15676,2144,19276,-2405,-6209,41,17,41,59669
-2632,-14244,3860,17924,-2335,-1707,36,11,44,59705
-4648,-15552,5612,18333,-2976,-1481,34,12,48,59741
-2908,-13476,9588,18707,-2601,-4857,29,11,49,59777
-3636,-13784,10724,10995,-1022,-3351,26,10,53,59811
-4232,-13720,8252,9026,-113,-6834,24,11,55,59847
-1484,-12640,8732,11088,-423,-6441,21,8,57,59882
-2696,-11996,9384,12363,-1299,-6326,20,6,57,59918
-1668,-12100,10572,14158,-1457,-9159,16,6,58,59954
672,-10136,11884,15382,-563,-8049,11,5,60,59988
-1276,-10508,12412,14167,-1076,-6718,7,5,62,60024
1292,-8516,12980,15296,364,-7462,3,4,61,60060
1164,-7836,13724,14897,68,-4909,-2,3,59,60095
-1268,-7544,15584,12609,-667,-5153,-5,6,60,60131
1468,-6400,15888,10019,-302,-6434,-9,4,61,60166
32,-5952,15036,8142,-992,-4911,-9,6,61,60201
1484,-5104,14580,8893,-1961,-5028,-15,5,61,60236
1640,-3356,14072,10692,-2501,-4221,-17,3,59,60272
3956,-2460,19016,9818,320,-3532,-18,4,60,60308
2660,-3168,17624,5190,256,-1087,-21,5,57,60343
368,-3452,13236,5788,-1381,943,-21,5,58,60379
236,-2276,14868,8881,-932,-3415,-25,4,58,60413
2084,-960,16592,7842,-3532,-4693,-27,4,56,60449
4044,264,18860,4706,2112,30,-28,3,56,60484
1784,-408,15304,4760,2789,-3199,-29,5,57,60520
1268,1552,15792,8507,2276,-5325,-30,6,53,60555
1068,1276,16236,6177,-87,-3964,-32,6,51,60591
2712,572,16792,5398,-3079,-3193,-35,6,52,60625
1712,2488,17928,3656,-2393,-4700,-34,7,52,60661
3060,1164,16104,1646,-2730,-1026,-33,6,53,60697
3280,2860,14304,3018,4019,-2398,-34,7,49,60732
1100,1528,17616,1050,5388,1369,-36,7,51,60768
412,2376,16660,1575,-727,-113,-35,8,52,60803
1472,2292,16336,971,-909,-242,-35,9,49,60838
1688,2920,16376,3107,207,14,-37,9,50,60873
1828,3024,16488,828,64,1956,-38,7,48,60909
1716,2636,15864,709,-64,1311,-38,7,48,60944
2060,1792,15884,-149,-1328,282,-38,6,50,60980
1356,3164,16356,599,-1105,-997,-38,7,48,61015
2668,2476,15708,-804,-282,893,-37,6,48,61050
2160,2600,16632,-1348,-414,351,-37,5,49,61085
2488,1788,15908,-377,277,855,-37,7,50,61121
2336,2552,16348,-185,535,526,-36,7,52,61156
2008,1980,15916,583,3527,1603,-36,7,49,61192
1600,2336,16248,7499,2622,599,-39,9,49,61227
1680,2900,16288,6952,1658,254,-41,7,47,61262
1060,4348,16500,3415,-1884,121,-41,8,48,61297
1708,3788,15708,-1395,-2854,-877,-40,6,49,61333
1712,3324,15888,-2628,-2652,-586,-43,6,48,61368
3444,4352,14556,-2956,-911,430,-40,6,49,61404
2496,2904,15760,-4069,1934,3233,-37,5,50,61438
2064,2748,16008,-2947,2942,3322,-37,6,51,61474
2300,2396,15656,-1185,3397,4121,-39,4,50,61510
1584,2208,16692,59,3470,5026,-36,6,51,61545
1408,2316,15956,1178,2215,4018,-39,4,51,61581
1504,2468,15908,1412,1852,3055,-38,6,50,61616
952,2720,16792,208,1160,4101,-39,5,50,61651
1368,2220,15612,-1352,107,2339,-40,4,49,61686
1064,2712,15872,-1767,-853,1639,-39,5,49,61722
2188,1420,15688,-1729,1408,2688,-38,4,50,61757
732,2180,16540,-1235,3957,6770,-37,4,50,61793
420,1720,16268,-1587,6627,8863,-38,4,48,61828
212,2028,15840,-1169,12466,11544,-38,4,51,61863
-2040,2088,17128,-457,7193,12101,-38,6,51,61899
-1024,1988,16524,-221,5227,10705,-38,5,50,61934
-1744,2312,16792,712,5813,11740,-39,5,50,61970
-1388,2108,17108,1795,1968,14408,-40,2,50,62005
-1688,1104,16224,2394,1798,12781,-39,1,50,62041
-1956,2840,16008,5068,-808,12351,-38,0,50,62076
-688,3240,16228,5273,-17,13281,-42,-3,47,62111
-756,4232,14504,1468,1738,12090,-42,-5,47,62147
-444,4796,14920,-1551,3714,12914,-39,-6,48,62182
-1148,3096,15192,-1327,3617,13078,-41,-10,48,62218
-1564,3780,15764,784,2896,13096,-41,-11,49,62254
-2244,3112,17264,495,2805,12667,-41,-11,48,62288
-112,2520,17080,-2220,203,13569,-37,-15,50,62324
-148,3344,16156,-2344,-866,16188,-36,-16,49,62360
-196,3408,14968,-1823,1435,16759,-35,-21,49,62395
-532,3804,15268,-202,2026,15009,-33,-20,49,62431
-1300,3860,16256,-1439,2698,11667,-29,-24,49,62466
-76,2924,15532,-4318,6378,11586,-30,-20,51,62501
-428,4324,16324,-4534,3773,16032,-24,-23,53,62537
-1132,1436,15692,-7074,5115,16580,-22,-25,55,62572
